Run Name (clean name) (1),Tech||Outputs Group Detailed (electricity supply) (1),State,Year,Value,Unit
Baseline,Customer-sited Solar,alabama,2021,0,gigawatt
Baseline,Customer-sited Solar,alabama,2025,0.024,gigawatt
Baseline,Customer-sited Solar,alabama,2030,0.076,gigawatt
Baseline,Customer-sited Solar,alabama,2035,0.129,gigawatt
Baseline,Customer-sited Solar,alabama,2040,0.345,gigawatt
Baseline,Customer-sited Solar,alabama,2045,0.355,gigawatt
Baseline,Customer-sited Solar,alabama,2050,0.484,gigawatt
Baseline,Customer-sited Solar,alaska,2021,0.01,gigawatt
Baseline,Customer-sited Solar,alaska,2025,0.023,gigawatt
Baseline,Customer-sited Solar,alaska,2030,0.027,gigawatt
Baseline,Customer-sited Solar,alaska,2035,0.035,gigawatt
Baseline,Customer-sited Solar,alaska,2040,0.047,gigawatt
Baseline,Customer-sited Solar,alaska,2045,0.057,gigawatt
Baseline,Customer-sited Solar,alaska,2050,0.088,gigawatt
Baseline,Customer-sited Solar,arizona,2021,1.957,gigawatt
Baseline,Customer-sited Solar,arizona,2025,4.17,gigawatt
Baseline,Customer-sited Solar,arizona,2030,5.419,gigawatt
Baseline,Customer-sited Solar,arizona,2035,6.038,gigawatt
Baseline,Customer-sited Solar,arizona,2040,6.268,gigawatt
Baseline,Customer-sited Solar,arizona,2045,6.483,gigawatt
Baseline,Customer-sited Solar,arizona,2050,7.071,gigawatt
Baseline,Customer-sited Solar,arkansas,2021,0.1,gigawatt
Baseline,Customer-sited Solar,arkansas,2025,0.343,gigawatt
Baseline,Customer-sited Solar,arkansas,2030,0.943,gigawatt
Baseline,Customer-sited Solar,arkansas,2035,1.43,gigawatt
Baseline,Customer-sited Solar,arkansas,2040,1.705,gigawatt
Baseline,Customer-sited Solar,arkansas,2045,1.979,gigawatt
Baseline,Customer-sited Solar,arkansas,2050,2.537,gigawatt
Baseline,Customer-sited Solar,california,2021,12.201,gigawatt
Baseline,Customer-sited Solar,california,2025,29.146,gigawatt
Baseline,Customer-sited Solar,california,2030,33.801,gigawatt
Baseline,Customer-sited Solar,california,2035,36.137,gigawatt
Baseline,Customer-sited Solar,california,2040,37.634,gigawatt
Baseline,Customer-sited Solar,california,2045,41.54,gigawatt
Baseline,Customer-sited Solar,california,2050,44.973,gigawatt
Baseline,Customer-sited Solar,colorado,2021,0.718,gigawatt
Baseline,Customer-sited Solar,colorado,2025,1.767,gigawatt
Baseline,Customer-sited Solar,colorado,2030,2.516,gigawatt
Baseline,Customer-sited Solar,colorado,2035,3.265,gigawatt
Baseline,Customer-sited Solar,colorado,2040,3.934,gigawatt
Baseline,Customer-sited Solar,colorado,2045,4.301,gigawatt
Baseline,Customer-sited Solar,colorado,2050,5.109,gigawatt
Baseline,Customer-sited Solar,connecticut,2021,0.709,gigawatt
Baseline,Customer-sited Solar,connecticut,2025,1.87,gigawatt
Baseline,Customer-sited Solar,connecticut,2030,2.151,gigawatt
Baseline,Customer-sited Solar,connecticut,2035,2.311,gigawatt
Baseline,Customer-sited Solar,connecticut,2040,2.392,gigawatt
Baseline,Customer-sited Solar,connecticut,2045,2.476,gigawatt
Baseline,Customer-sited Solar,connecticut,2050,2.731,gigawatt
Baseline,Customer-sited Solar,delaware,2021,0.092,gigawatt
Baseline,Customer-sited Solar,delaware,2025,0.283,gigawatt
Baseline,Customer-sited Solar,delaware,2030,0.415,gigawatt
Baseline,Customer-sited Solar,delaware,2035,0.46,gigawatt
Baseline,Customer-sited Solar,delaware,2040,0.46,gigawatt
Baseline,Customer-sited Solar,delaware,2045,0.46,gigawatt
Baseline,Customer-sited Solar,delaware,2050,0.523,gigawatt
Baseline,Customer-sited Solar,district of columbia,2021,0.101,gigawatt
Baseline,Customer-sited Solar,district of columbia,2025,0.305,gigawatt
Baseline,Customer-sited Solar,district of columbia,2030,0.445,gigawatt
Baseline,Customer-sited Solar,district of columbia,2035,0.493,gigawatt
Baseline,Customer-sited Solar,district of columbia,2040,0.493,gigawatt
Baseline,Customer-sited Solar,district of columbia,2045,0.493,gigawatt
Baseline,Customer-sited Solar,district of columbia,2050,0.545,gigawatt
Baseline,Customer-sited Solar,florida,2021,1.121,gigawatt
Baseline,Customer-sited Solar,florida,2025,4.239,gigawatt
Baseline,Customer-sited Solar,florida,2030,10.54,gigawatt
Baseline,Customer-sited Solar,florida,2035,13.86,gigawatt
Baseline,Customer-sited Solar,florida,2040,15.703,gigawatt
Baseline,Customer-sited Solar,florida,2045,18.016,gigawatt
Baseline,Customer-sited Solar,florida,2050,29.009,gigawatt
Baseline,Customer-sited Solar,georgia,2021,0.037,gigawatt
Baseline,Customer-sited Solar,georgia,2025,0.206,gigawatt
Baseline,Customer-sited Solar,georgia,2030,0.59,gigawatt
Baseline,Customer-sited Solar,georgia,2035,0.974,gigawatt
Baseline,Customer-sited Solar,georgia,2040,1.259,gigawatt
Baseline,Customer-sited Solar,georgia,2045,1.707,gigawatt
Baseline,Customer-sited Solar,georgia,2050,2.506,gigawatt
Baseline,Customer-sited Solar,hawaii,2021,0.748,gigawatt
Baseline,Customer-sited Solar,hawaii,2025,0.975,gigawatt
Baseline,Customer-sited Solar,hawaii,2030,1.248,gigawatt
Baseline,Customer-sited Solar,hawaii,2035,1.547,gigawatt
Baseline,Customer-sited Solar,hawaii,2040,1.8,gigawatt
Baseline,Customer-sited Solar,hawaii,2045,2.049,gigawatt
Baseline,Customer-sited Solar,hawaii,2050,2.581,gigawatt
Baseline,Customer-sited Solar,idaho,2021,0.09,gigawatt
Baseline,Customer-sited Solar,idaho,2025,0.264,gigawatt
Baseline,Customer-sited Solar,idaho,2030,0.377,gigawatt
Baseline,Customer-sited Solar,idaho,2035,0.452,gigawatt
Baseline,Customer-sited Solar,idaho,2040,0.645,gigawatt
Baseline,Customer-sited Solar,idaho,2045,0.855,gigawatt
Baseline,Customer-sited Solar,idaho,2050,1.386,gigawatt
Baseline,Customer-sited Solar,illinois,2021,0.758,gigawatt
Baseline,Customer-sited Solar,illinois,2025,1.269,gigawatt
Baseline,Customer-sited Solar,illinois,2030,2.498,gigawatt
Baseline,Customer-sited Solar,illinois,2035,4.028,gigawatt
Baseline,Customer-sited Solar,illinois,2040,5.688,gigawatt
Baseline,Customer-sited Solar,illinois,2045,6.138,gigawatt
Baseline,Customer-sited Solar,illinois,2050,6.918,gigawatt
Baseline,Customer-sited Solar,indiana,2021,0.16,gigawatt
Baseline,Customer-sited Solar,indiana,2025,0.419,gigawatt
